E_lab	E*/MeV	190Po	191Po	192Po	193Po	194Po	195Po	196Po
262.970	48.0	0.000E+00	0.000E+00	0.585E-08	0.895E-03	0.259E-02	0.831E-04	0.000E+00
264.367	49.0	0.000E+00	0.000E+00	0.295E-07	0.118E-02	0.180E-02	0.492E-04	0.000E+00
265.764	50.0	0.000E+00	0.000E+00	0.123E-06	0.146E-02	0.123E-02	0.289E-04	0.000E+00
267.162	51.0	0.000E+00	0.000E+00	0.432E-06	0.168E-02	0.832E-03	0.169E-04	0.000E+00
268.559	52.0	0.000E+00	0.000E+00	0.130E-05	0.181E-02	0.555E-03	0.979E-05	0.000E+00
269.956	53.0	0.000E+00	0.000E+00	0.337E-05	0.185E-02	0.366E-03	0.564E-05	0.000E+00
271.353	54.0	0.000E+00	0.000E+00	0.771E-05	0.180E-02	0.239E-03	0.322E-05	0.000E+00
272.750	55.0	0.000E+00	0.000E+00	0.157E-04	0.167E-02	0.155E-03	0.182E-05	0.000E+00
274.147	56.0	0.000E+00	0.000E+00	0.286E-04	0.149E-02	0.100E-03	0.994E-06	0.000E+00
275.545	57.0	0.000E+00	0.000E+00	0.472E-04	0.129E-02	0.640E-04	0.520E-06	0.000E+00
276.942	58.0	0.000E+00	0.136E-09	0.710E-04	0.108E-02	0.407E-04	0.238E-06	0.000E+00
278.339	59.0	0.000E+00	0.576E-09	0.983E-04	0.885E-03	0.258E-04	0.000E+00	0.000E+00
279.736	60.0	0.000E+00	0.184E-08	0.126E-03	0.707E-03	0.162E-04	0.000E+00	0.000E+00
281.133	61.0	0.000E+00	0.495E-08	0.151E-03	0.553E-03	0.101E-04	0.000E+00	0.000E+00
282.530	62.0	0.000E+00	0.124E-07	0.170E-03	0.425E-03	0.631E-05	0.000E+00	0.000E+00
283.928	63.0	0.000E+00	0.300E-07	0.184E-03	0.321E-03	0.390E-05	0.000E+00	0.000E+00
285.325	64.0	0.000E+00	0.716E-07	0.187E-03	0.240E-03	0.239E-05	0.000E+00	0.000E+00
286.722	65.0	0.000E+00	0.164E-06	0.183E-03	0.176E-03	0.146E-05	0.000E+00	0.000E+00
288.119	66.0	0.000E+00	0.353E-06	0.173E-03	0.128E-03	0.871E-06	0.000E+00	0.000E+00
289.516	67.0	0.000E+00	0.706E-06	0.157E-03	0.926E-04	0.504E-06	0.000E+00	0.000E+00
290.913	68.0	0.000E+00	0.131E-05	0.139E-03	0.662E-04	0.283E-06	0.000E+00	0.000E+00
292.311	69.0	0.000E+00	0.225E-05	0.120E-03	0.469E-04	0.139E-06	0.000E+00	0.000E+00
293.708	70.0	0.000E+00	0.360E-05	0.102E-03	0.330E-04	0.529E-07	0.000E+00	0.000E+00
295.105	71.0	0.243E-10	0.537E-05	0.841E-04	0.230E-04	0.000E+00	0.000E+00	0.000E+00
296.502	72.0	0.102E-09	0.751E-05	0.684E-04	0.160E-04	0.000E+00	0.000E+00	0.000E+00
297.899	73.0	0.371E-09	0.988E-05	0.547E-04	0.110E-04	0.000E+00	0.000E+00	0.000E+00
299.296	74.0	0.118E-08	0.123E-04	0.431E-04	0.756E-05	0.000E+00	0.000E+00	0.000E+00
300.693	75.0	0.332E-08	0.146E-04	0.335E-04	0.516E-05	0.000E+00	0.000E+00	0.000E+00
302.091	76.0	0.832E-08	0.166E-04	0.258E-04	0.350E-05	0.000E+00	0.000E+00	0.000E+00
303.488	77.0	0.188E-07	0.180E-04	0.196E-04	0.236E-05	0.000E+00	0.000E+00	0.000E+00
304.885	78.0	0.385E-07	0.189E-04	0.148E-04	0.159E-05	0.000E+00	0.000E+00	0.000E+00
306.282	79.0	0.719E-07	0.192E-04	0.111E-04	0.106E-05	0.000E+00	0.000E+00	0.000E+00
307.679	80.0	0.124E-06	0.189E-04	0.820E-05	0.704E-06	0.000E+00	0.000E+00	0.000E+00
309.076	81.0	0.198E-06	0.181E-04	0.603E-05	0.464E-06	0.000E+00	0.000E+00	0.000E+00
310.474	82.0	0.294E-06	0.169E-04	0.441E-05	0.305E-06	0.000E+00	0.000E+00	0.000E+00
311.871	83.0	0.412E-06	0.155E-04	0.320E-05	0.196E-06	0.000E+00	0.000E+00	0.000E+00
313.268	84.0	0.545E-06	0.139E-04	0.231E-05	0.123E-06	0.000E+00	0.000E+00	0.000E+00
314.665	85.0	0.686E-06	0.122E-04	0.166E-05	0.768E-07	0.000E+00	0.000E+00	0.000E+00
316.062	86.0	0.824E-06	0.106E-04	0.118E-05	0.420E-07	0.000E+00	0.000E+00	0.000E+00
317.459	87.0	0.950E-06	0.906E-05	0.840E-06	0.171E-07	0.000E+00	0.000E+00	0.000E+00
318.857	88.0	0.106E-05	0.763E-05	0.594E-06	0.485E-08	0.000E+00	0.000E+00	0.000E+00
320.254	89.0	0.113E-05	0.634E-05	0.417E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
321.651	90.0	0.118E-05	0.522E-05	0.292E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
